작성자,평점,작성일,내용,공감수,답글,국가
Ava De Feyter,5,2026-06-02 07:48:51,"I absolutely LOVE this app 🫶🏻 i've ruined so many binder pages trying out diffrsnt layouts and I was so happy to finally have an app where I can try them out! The inly issue for me is im trying the 7 day free trial to see if I want to get pro, however it hasnt activated yet and it's been two days so im losing on my free trial 🥹 Im hoping to get this fixed and get pro monthly soon! other then that it's absolutely 5 stars ⭐️ Update! they gave me pro for 2 weeks free and fixed it 🥹 5 stars!!!",1,"Could you please join our Discord or send a DM to ""hifriend"" on Bias Room? We'll be happy to help investigate and resolve the issue.",us
Cara Murphy,5,2026-06-02 07:22:23,"Edit: I'm really happy to hear the editor plans to expand in the future. I understand development takes time and I am definitely willing to wait. Thank you for planning a broader app including the further reaching Kpop genre. 🫶 Original Review: I thought this app was great but they leave out so many parts of k-pop culture by only allowing Korean groups. I know its Korean-pop, but the genre has grown beyond and its a shame to alienate those groups and fans.",0,"Hi, thanks for sharing. We plan to expand beyond this soon. The current limitation is mostly due to infrastructure constraints, which we plan to upgrade to support a wider range of fandoms.",us
cam,4,2026-06-02 00:55:41,"I'd hope there was an option to have your ult group and ult bias separate on your profile, since my ult bias is not from my ult group 🥹 The ""since"" date also gets confusing since I've been a fan of my ult bias longer than he's been in his group. Since this is a community app I'd hope there were more options for specifics like this for your profile!",0,"Have you tried setting a default group in Preferences (under Browse)? It lets you choose your default/ult group, and it will also be displayed on your profile page.",us
Jay Porter,1,2026-06-01 10:49:12,"biggest issue are the admins. they approve and deny pc's at complete random with no oversight. if a pc is approved by 30 users, ONE admin can reject it entirely, even when theyre incorrect. additionally, the rejection comments usually give no insight into what can be fixed; a better option would be for rejections to have prewritten selections to critique and even to praise for approvals, so that the uploader can actually fix the problem and not get swamped with often useless or rude comments.",5,Thanks for the feedback. We agree that review consistency and actionable feedback are important. We're currently exploring ways to improve the approval process and provide clearer reasons for rejections.,us
m*,4,2026-06-01 08:12:08,"the app is amazing!! however it is still buggy and slow at times, also it would be nice to be able to search for usernames and to be able to crop scans inside the app :3",0,"We're experiencing a lot of traffic and are doing our best to keep the servers stable. Also, you can search for users by going to Profile → the magnifying glass icon.",us
Johnathan Jackson,3,2026-06-01 00:41:27,"Cool App but having to pay for scans is not cool. I also collect comics and the app I use for comics gives you free unlimited scans on the free version of the app. On here for photo cards, $50 a YEAR is just terrible. Cool app for the most part.",2,,us
Sandra Jottka,5,2026-05-31 22:22:17,"thee k-pop collecting app!!! very very easy to use and has everything i need to store my photocard collection!! also, it's actually pretty to look at, many thanks for all the people who made biasroom!! 🥹🥳💜",0,STOPPP 🥹💜 Thank you so much!!,us
Haerin Kang,5,2026-05-31 21:46:14,amazing,0,<3 <3 <3,us
Katie,3,2026-05-31 13:21:15,"App is fine as a collection tracker. Community is awful with the submission system overly engineered to encourage toxic behavior. If you're adding something new to help the community, it probably won't go through because the community is already awful. Instead of going through hoops for the initial approval, allow the community to upload their own photos and vote on the best one after the general submission is approved. This app highlights the worst of kpop and fosters a terrible atmosphere.",2,"Thanks for the feedback. We know the review process isn't perfect, and we're actively working on improvements to make reviews more transparent, constructive, and consistent. We appreciate you sharing your concerns and suggestions as we continue refining the system.
",us
Melody멜로디 (Meow),5,2026-05-31 09:11:53,this app is so AweeeeeeeSome.Thank You 🙏🏻 so much for all the hard work you put in to develop this Amazing app 👏🏻.,0,"Aww, thank you so much! 🥹🙏 I am dancing and cryingggg",us
Naz Genç,4,2026-05-31 05:19:54,"Overall a very needed app, thank you. I sorted out all my collection perfectly so I'll keep using it. But it crashes a lot. The pages load really slowly, and the likes I end up will get removed because of that delay. If that gets fixed, 5/5!",2,Thank you for the feedback and for using Bias Room! 💜 We're currently working on performance improvements and server scaling to address the slow loading and crashes. We appreciate your patience and hope to earn that 5/5 soon! 🙏,us
Crixy,5,2026-05-31 00:16:25,Brand new app and functioning really well so far!,0,Thank youuuuuuu! Thankfully we dont see massive fire!,us
Jessica Avelsgaard,2,2026-05-30 15:47:04,"I love the idea behind this but there's a bug I have encountered that is making it unusable for me. I will browse collections and add a whole OT8 set to my collection. Then I try to add these cards to a page in my binder, but only 3 or 4 of the 8 will show up for me to select. The app knows that I have them in my collection, because when looking at my collection they all exist. Its only when trying to add to a binder that I can no longer see my whole collection.",0,We will investigate on this issue. Thanks you for reporting and excuse us for the inconvenience.,us
Rosa,1,2026-05-30 04:24:24,I get making the scanning and profile bonus stuff pro only but TO ONLY HAVE TWO BINDERS WITH 15 PAGES EACH is making it impossible to use the app for ita core purpose without paying 50€ a year!? that is so stupid. I dont even want to start entering my collection bc I cant even enter all of them. this is rendering the app USELESS,6,,us
cherylene,5,2026-05-30 02:16:11,this app is actually amazing + i love how ur responses to reviews are so nice and genuine 🥹💕,1,Thanks for noticing! :) Thank you and have a great day!,us
Felipe Maldonado,5,2026-05-29 14:43:52,"Been using Bias Room on browser for several months now and been loving it! As soon as they announced the app I pre-registered so that it would auto-install once it dropped! The app feels better and smoother compared to on Chrome so far from what I've been using it! Awesome app, love it so much since it's a very easy place to keep track on photocard collection! :D",5,"Thank you so much for your support! 💜 It means a lot to hear from longtime Bias Room users. We're thrilled you're enjoying the app and that it's feeling smoother than the browser version. Happy collecting, and thank you for being part of the community! 🥹✨",us
Ali,4,2026-05-28 19:52:43,"This is a fantastic way to catalogue my collection. Easy navigate and simple to use. Also, I anticipate my rating to go from 4 stars to 5 stars the more I use this app.",0,We are waiting for the 5 stars...!,us
Rye,5,2026-05-28 09:41:09,a must have for every k-pop collector.,0,<3 <3 <3 u da best!,us
Jessica,5,2026-05-28 07:53:52,"Biasroom is truly unmatched when it comes to K-Pop collection trackers. I love the market feature most. It finds listings on nearly all the major second hand shopping apps for you! No more clunky search results with pcs you weren't even looking for. I also love the built-in buy/trade feature, with filters to allow you to see only the cards on your wishlist. The dev team is extremely responsive to suggestions and actively seeks feedback from the community! This app is a must-have for K-pop fans!",0,"YESSSSSSS 😭💜 You are making us cryyyyy too!!! Thank you so much for the love and support. Comments like this make all the late nights worth it! 🥹✨
",us
J Ye,3,2026-05-28 01:17:02,"the app is glitchy, for example when trying to add a new card, the search doesnt search beyond the w listings so I am unable to upload new items.",1,,us
Rene Patties,5,2026-05-27 22:06:33,THANK YOU FOR RELEASED THIS!!!! i used this app since it still a browser😭😭💘💘💘 i really enjoy the binder feature! it helps me to organize my binder & wishlist :33 im literally obsess with this app!!,1,AAAAA THANK YOUUUU 😭💜💘 It means so much to hear from someone who's been with us since the browser days!!,us
Kylie Sundsmo,5,2026-05-27 15:01:49,"The Bias Room app is amazing! It makes organizing my extensive photocard and album collection easy and fun. There are a lot of cool features! I love how I can see a breakdown of how many photocards I own per group and member. The best part might be that the database is built by fans: if a photocard you own isn't on the site yet, you can add it yourself. I highly recommend Bias Room for any Kpop collector.",7,AHHH thank you so much!! 🥹💜 We're so happy you're enjoying the app and all the collection stats!,us
Julia Laurice Cruz,5,2026-05-27 13:44:50,"maybe im the first one to download this app, im loving it as a 3 year being a kpop fann",0,Thank you so much for downloading and supporting us from day one.😭💜,us
Cristopheravil Avila Vera,5,2026-05-27 10:21:34,Good app.,0,Good user!,us
Kinanti Zahara,5,2026-05-27 07:43:53,very helpful💕🤗🤗,0,Thank you! 💕,us
Harmony Wilson,5,2026-05-27 01:47:39,so far so good!! so nice to not have to carry every single binder 😅😅,0,Thank you so much for using the app and supporting us 💖 No more carrying heavy binders every day 😭🫶,us
Fatima Burki,5,2026-05-26 19:12:25,It's insanely good at matching photocards compared to any other app I've tried.,0,"That means so much to hear 😭💖 We’ve put a ton of effort into improving the photocard matching experience, so we’re really happy it’s working well for you 🫶
",us
Alfred Paul Cabillon,5,2026-05-26 14:59:04,UI is great! easy to navigate and sorted my ITZY photocards. Loving it so far~,1,Thank you so much!! 🫶 We’re so happy you’re enjoying the UI and organizing your ITZY photocards 💖,us
Afifah Naylatul Izza,5,2026-05-26 14:49:46,GOODD !!,0,🫶 🫶 🫶,us
orion walker,5,2026-05-26 13:59:04,"I love bias room, I have been using it since it first came out only on browser so im so glad to get to use it on my phone as an app now 🙂 Its the best photocard collecting app i can find",1,"True OG here 😭🫶 Thank you so much for supporting Bias Room since the browser days 💖
",us
Nikole Boltin,5,2026-05-26 13:18:44,im already obsessed with this app. its so hard for me to keep up with templates and this works so much easier for me,1,That makes us so happy to hear 😭🫶,us
Emm Ess,5,2026-05-26 10:30:25,"have this on my laptop, love it, great for collecting, fortunately photo cards from your favorite groups, make binders, and buy, sell albums and photocard of your own",0,Thank you so much 💖 You are the true OG!,us
val,5,2026-05-26 09:53:02,I loooove this app!!!,0,We loooove you too 😭🫶 Thank you so much for the support 💖,us
Azrah Adryll Penilla,5,2026-05-26 09:52:11,FINALLY THIS RELEASED I'VE BEEN WAITING!! AND THIS APP CAN KEEP TRACK ON PHOTOCARDS IM MISSING,1,FINALLY we meet!!!! Hello World!,us
Habiba,5,2026-05-26 09:07:05,I'M SO EXCITED TO TRY ITT!!,0,😎😎😎 Party mode on!,us
Chniti Ritej,5,2026-05-26 08:51:02,I love this app,0,❤️❤️❤️❤️❤️,us
황현진,5,2026-05-26 08:46:34,great app if you're trying to organize ur pcss!!,1,Appreciate it!! 🫶 Organizing PCs can get chaotic fast so we're happy Bias Room is helping haha,us
Luke,5,2026-07-25 04:18:55,A lot of photocards and album versions. friendly community!,0,,kr
Muhammad Alfian Nurizqi,1,2026-07-18 14:52:22,"The app is too bad, it keeps updating every day. I'm bored, you know, this app keeps asking for updates, like it's broken.",5,We usually update every 5–10 days — because we're working hard to give you the best experience we can!,id
Lee Carat,5,2026-07-11 00:17:05,"The application is good and quite helpful so far, although there are still far from perfection. It would be nice if you add another market like shopee link for the market",3,"Yes, we will put it on our todo list!",id
Lala,2,2026-08-01 21:08:34,"testando o app ainda mas ja de cara me decepcionei com a limitação dos binders, so pode ter alguns e com x paginas. aí você vai ver o pro FAAA 250 reais, não dá cara e eu nem tenho intenção de comprar/vender nele, so queria fazer um controle dos meus itens msm",0,,br
isabel,5,2026-07-31 01:52:00,"antes achava que era um app ""inútil"" mas na verdade tem vários detalhes para nos collectors muito úteis! desde ajudar a página de binder, conseguir anúncios na gringa, ver preços em todas as moedas e ver literalmente Todos os photocards dos idols, sem contar merchs, álbuns... fiquei muito entretida organizando meu perfil, recomendo a experiência!",2,,br
Felipe Pereira,5,2026-07-18 13:42:05,é um ótimo app para organizar sua coleção de photocards. Recomendo,1,<3,br
Laryssa Nogueira,4,2026-07-10 05:23:08,"The app ia pretty good but i'm having an issue where I accidentally put that i have 2 of the same photocard when o only have one but o can't edit It or i cant find where I can do It so if you guys could make a way Where I can edit It, It would be awesome!",0,"You can click on it and press ""-"" button to reduce your collection count!",br
Indra Kimura,5,2026-07-06 12:13:56,ia ficar tão bom se tivesse a opção de deixar em português 🥺,2,,br
Wonhee,4,2026-07-06 00:43:25,muito bom o app! porém acho que não deveria ser tudo pago.,2,,br
Douglas Lau,5,2026-07-05 18:56:48,"o app é incrível, uso desde a versão web e adora poder ter minha coleção de cards de forma virtual.",3,,br
Edvania silva Andrade,5,2026-06-25 02:12:10,:3não joguei ainda mas so de ver os comentários ja soube que e muito bom!!!,0,,br
André Macedo Pinto,3,2026-06-23 09:47:44,Até que legalzinho mais poderia ter a versão BR pois não sou bilíngue kaakakak,2,,br
Hypiez,1,2026-06-18 01:25:28,tudo pago que sacoo,4,,br
Emanuelle alice Rodrigues de Almeida,4,2026-06-17 04:48:51,"Excelente aplicativo com uma administração impecável e navegação """"Fácil"""".O único ponto que chamou minha atenção de forma negativa foi a presença de alguns bugs,embora nenhum comprometa a experiência.eu enxergo esse aplicativo como uma ótima alternativa para fãs de grupos nugus que tem dificuldade para encontrar photocards na internet",1,,br
Caroline Souza da costa,5,2026-06-16 08:27:30,"é muito bom! é tudo muito organizado e a interface é muito lindinha, super fácil de usar!! só senti falta de existir a moeda brasileira dentro do app mesmo, fora isso é um app incrível!",13,,br
Sophia Correa,5,2026-06-08 04:26:20,"muito bom,super recomendo!",1,,br
Aya,5,2026-06-04 06:05:38,"gosto muito do app!! mas queria fazer uma sugestão colocar uma categoria de otw pra podermos ir tirando do otw e adicionar a coleção quando o photocard chegar, e ter noção de quais photocards estão vindo.",12,,br
margarida coelho,4,2026-06-02 08:17:40,Nice,2,,br
Sophia Sena,5,2026-05-31 00:39:33,"app muuuiito organizado e facil de usar, to encantada!",6,Yayyyyy!,br
Lucas Silva,4,2026-05-27 04:17:45,"muito bom, no início pode ser até confuso pra algumas pessoas, mas se adapta rápido, eu notei alguns bugs mas nada que atrapalhe o jogo, bom demais, parabéns!",4,"We appreciate the feedback. We’re continuously working on making the app easier to navigate and fixing bugs as quickly as possible 💖 Glad you’re enjoying it!
",br
Gaby,5,2026-05-27 00:59:14,muito bom mesmo achei ele por causa da midzi,3,Thank you!!!! 😭💖,br
Bibia Souaz,5,2026-05-26 09:36:55,"ameiiii, sou fã de kpop e amei",3,Oh stoppp 😭🫶 You’re making us dance 💖,br
Julieta Arroyo Marcos,1,2026-08-04 00:30:03,"tienes que pagar para espacio, más bandera, etc",0,,mx
Pablo Garófalo,5,2026-08-01 02:17:11,"Muy buena, me gusta mucho",0,,mx
Cristina Fernández (Chrisredlips Makeup),5,2026-08-01 01:52:07,Genial para tener a mano las photocard que coleccionas,0,,mx
Mariela Daenerys Sanchez,3,2026-07-30 19:11:19,es muy buena pero para cambiar le el idioma no lo encuentro,1,,mx
Luninguis404,5,2026-07-27 00:55:45,muy útil y muy bien moderado,0,,mx
Fátima Casas,2,2026-07-20 14:42:30,Me encanta el concepto peri están mal con su sistema de cobro. me rebotaron mil pesos... necesito enco trae el contacto del developer porque playstore me rechazó el reembolso :(,1,Thank you so much for loving the concept! So sorry the subscription didn't work out. Please email us at biasroom@anykraft.io with the email on your account and reason for refund.,mx
Jose B,2,2026-07-10 08:58:45,yo lo e jugado pero solo deja 15 espacios por eso ya no lo uso,0,,mx
Tzuyu aboutzu,5,2026-07-09 11:18:38,"AMOO , es super buena la app para organizarse :3",3,,mx
July Rodríguez,5,2026-07-07 06:09:48,Since I discovered this app I couldn't stop using it to keep track of my collection and see their prices. I'm in love 😝🙏,0,,mx
Madelein Saray,4,2026-07-06 11:51:23,me gusta mucho,1,,mx
Vanessa Paloma Camarillo,5,2026-07-05 10:42:45,𝒔𝒖𝒑𝒆𝒓 𝒃𝒖𝒆𝒏𝒂 𝒄𝒂𝒍𝒊𝒅𝒂𝒅,3,,mx
Maria Soledad Monzon,2,2026-06-30 23:41:35,"muy buena la aplicación, pero las personas que son ""admin"" son re ciegos para ver si el scaneo de una pc es buena o mala, dejan escaneos de mala definición por mañosos. Muchas de las photocards tienen una MUY mala resolución y calidad, y cuando pones una buena foto te la rechazan con excusas 🤡 eso la baja una banda. Son bastante incompetentes.",8,,mx
Sarai Crespo Delgado,3,2026-06-22 13:16:35,"The app has potential, but there are several issues that need improvement. Chats do not fully delete even after pressing remove/delete, since they reappear after reopening the app. Also, even while paying for extra scans, after around 20 scans I have to fully restart the app to continue scanning. The scan system should also be improved because many photocards give errors or are not recognized. The market search function does not work well either. For BTS, there should also be a “Group” category.",2,,mx
Mauricio Vega,5,2026-06-15 12:54:55,Muy bueno,0,,mx
Renato,5,2026-06-14 04:44:37,necesario para comprobar si tus pc's son originales o no,2,,mx
Cintia Bellanti,5,2026-06-13 07:15:01,Me parece un gran esfuerzo lograr toda esta app. Felicitaciones!,3,,mx
Mar RD.,5,2026-06-11 12:49:56,Amoo,0,,mx
Jocelyn Garay,3,2026-06-10 10:51:42,"Es una app que te ayuda a ordenar tu binder de forma virtual pero es una pena algunas opciones como por ejemplo ""tener más de un bias"" sea pagado, eso quita la emoción después de usarlo...",8,,mx
Martina Bernucci,2,2026-06-10 09:21:02,"No me gusta casi nada. Es ordenada pero hay que pagar para casi todo y si no están las pc que busco, básicamente jodí",6,,mx
Tatiana García,1,2026-05-31 07:22:04,"pésima, solo te deja agregar ciertas pcs al binder y después tienes que pagar 😐",3,,mx
Kristie,1,2026-05-27 04:16:33,Aburrido 🥱 para todo hay que pagar,2,,mx
Morena Carabajal,5,2026-05-27 03:38:42,la amo ♥️,2,🫶🫶🫶🫶🫶,mx
Dylan López hernandez,5,2026-05-26 09:31:11,"es increíble,puedo saber el valor de mis pcs",4,That makes us so happy to hear! Helping collectors track and understand their PCs better was one of our biggest goals 💖,mx
